id,title,polarity,subjectivity,vader_compund,GPE
3608,Kerry to go to Paris in gesture of sympathy,0.0,0.0,0.3612,['Paris']
875,The Battle of New York: Why This Primary Matters,0.2681818181818182,0.4772727272727273,-0.3612,['New York']
95,‘Britain’s Schindler’ Dies at 106,0.0,0.0,0.0,[]
4869,Fact check: Trump and Clinton at the 'commander-in-chief' forum,0.0,0.0,0.0,[]
2909,Iran reportedly makes new push for uranium concessions in nuclear talks,0.13636363636363635,0.45454545454545453,0.0,['Iran']
1357,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",0.0,0.0,-0.34,['Iowa']
988,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,-0.39166666666666666,0.5416666666666666,-0.7717,[]
1571,"Trump takes on Cruz, but lightly",0.4,0.7,0.0,[]
4739,How women lead differently,0.0,0.6,0.0,[]
3304,What's in that Iran bill that Obama doesn't like?,0.0,0.0,-0.2755,['Iran']
3078,The 1 chart that explains everything you need to know about partisanship in America,0.0,0.0,0.0,['America']
2517,The slippery slope to Trump’s proposed ban on Muslims,0.0,0.0,-0.5574,[]
778,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,0.0,0.0,0.0,['Staten Island']
3300,New Senate majority leader’s main goal for GOP: Don’t be scary,-0.06565656565656568,0.5959595959595959,-0.4939,[]
636,Anti-Trump forces seek last-ditch delegate revolt,0.0,0.0,0.0,[]
755,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,0.0,0.0,0.0,['W. Va.']
626,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,0.0,0.0,0.4973,[]
691,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),-0.22857142857142856,0.5,-0.6808,[]
1787,GOP insiders: Carly crushed it,-0.1,0.1,-0.4215,[]
1967,Both parties want to craft populist messages for 2016,0.0,0.0,0.4588,[]
431,First Take: Wall Street bids goodbye to June hike,0.25,0.3333333333333333,0.0,[]
5224,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",0.0,0.0,-0.4215,[]
2777,Obama makes the right call to tough it out in Afghanistan,-0.0515873015873016,0.6845238095238095,-0.128,['Afghanistan']
587,Senate race rankings: Dems attack as GOP lays swing-state groundwork,0.0,0.0,-0.4767,[]
3027,American politics has reached peak polarization,0.0,0.0,0.1027,[]
4377,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),0.4,0.8,0.5106,[]
3627,World's newspapers react to 'Hebdo' attack,0.0,0.0,-0.4767,[]
909,"Closed primaries, 'warped' democracy?",-0.1,0.1,0.0,[]
1522,Donald Trump: Hillary Clinton has 'caused tremendous death',0.3333333333333333,1.0,-0.6361,[]
1834,Biden makes another surprise political stop,0.0,0.1,-0.0258,[]
1775,"Hillary Clinton's declining favorability numbers, in context",0.0,0.0,0.0,[]
3363,Hillary Clinton: The criminal investigation keeps moving forward,-0.4,0.55,-0.5267,[]
1084,Rubio’s parting shot at Trump,0.0,0.0,0.0,[]
4410,Loretta Lynch becomes first African-American woman AG.,0.25,0.3333333333333333,0.0,[]
2669,Why it's funny Republicans are upset with Facebook: Column,0.25,1.0,0.0772,[]
3648,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,0.0,0.0,-0.1546,['Orlando']
596,Handicapping the Hispanic vote for 2016 GOPers,0.0,0.0,0.0,[]
1569,GOP establishment nightmare? Ted Cruz vs. Donald Trump,0.0,0.0,0.0,[]
1178,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,-0.13333333333333333,0.26666666666666666,-0.7964,['South Carolina']
1506,Jeb Bush Picks Up Endorsement From Lindsey Graham,0.0,0.0,0.3182,[]
1641,"2016 Republican race enters a new, volatile phase",0.13636363636363635,0.45454545454545453,0.0,[]
139,"‘Hands up, don’t shoot’ was built on a lie",0.0,0.0,0.0,[]
4134,Bernie Sanders' call for ouster of two convention co-chairs rejected,0.0,0.0,-0.5106,[]
917,Five Reasons the New York Democratic Primary Felt Competitive,0.2681818181818182,0.4772727272727273,0.1779,[]
3854,"To get around Congress, Obama turns to city halls",0.0,0.0,0.0,['Obama']
