id,title,polarity,subjectivity,vader_compund,GPE
8476,You Can Smell Hillary’s Fear,0.0,0.0,-0.4939,[]
10294,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),0.125,0.175,-0.5267,[]
10142,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',-0.875,0.2,-0.3595,[]
6903,"Tehran, USA",0.0,0.0,0.0,"['Tehran', 'USA']"
7341,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,0.0,0.0,-0.5423,[]
7041,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",0.4333333333333333,0.7333333333333333,0.296,[]
7623,10 Ways America Is Preparing for World War 3,0.0,0.0,-0.5994,[]
7737,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,-1.0,1.0,-0.7088,[]
8716,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,-0.17023809523809522,0.5726190476190477,0.1111,[]
10348,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,0.35714285714285715,0.5714285714285714,0.4019,[]
6155,‘Inferno’ and the Overpopulation Myth,0.0,0.0,0.0,[]
5743,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",0.15000000000000002,0.35,-0.6705,[]
7808,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],-0.6,1.0,0.4767,[]
6484,Why It’s Necessary To Relax Into A Stretch,0.0,1.0,0.4404,[]
7385,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",0.0,0.0,0.4404,"['UK', 'Russia']"
9016,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",0.1,0.4,-0.593,['Empire']
9324,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,0.0,0.0,0.5267,[]
8983,First Ever Hindu Woman Elected into Congress,0.25,0.3333333333333333,0.0,[]
8965,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,-0.15625,0.375,0.0,[]
